method,duration_clock,duration_mono,duration_sys,n_mpi,x_grid_cuda,y_grid_cuda,x_block_cuda,y_block_cuda,n_threads,interaction
omp,28.140581,16.547742,16.547741,,,,,,2,1
omp,27.748264,16.359286,16.359285,,,,,,2,2
omp,27.096600,15.793904,15.793902,,,,,,2,3
omp,27.125263,15.712073,15.712071,,,,,,2,4
omp,27.244149,15.942672,15.942670,,,,,,2,5
omp,27.093772,15.945103,15.945101,,,,,,2,6
omp,26.878742,15.551339,15.551338,,,,,,2,7
omp,27.568217,16.500101,16.500100,,,,,,2,8
omp,26.628492,15.643280,15.643278,,,,,,2,9
omp,26.805118,15.788667,15.788666,,,,,,2,10
omp,27.035590,15.973905,15.973903,,,,,,2,11
omp,26.950380,15.230309,15.230309,,,,,,2,12
omp,27.264977,15.630966,15.630965,,,,,,2,13
omp,27.333601,16.158084,16.158083,,,,,,2,14
omp,27.904302,16.724379,16.724379,,,,,,2,15
omp,27.175830,8.774851,8.774849,,,,,,4,1
omp,27.583832,9.401674,9.401672,,,,,,4,2
omp,27.035899,9.025708,9.025707,,,,,,4,3
omp,27.300999,9.220005,9.220003,,,,,,4,4
omp,27.239764,9.178735,9.178733,,,,,,4,5
omp,27.317316,9.259739,9.259738,,,,,,4,6
omp,27.856231,9.297266,9.297264,,,,,,4,7
omp,27.106087,9.245244,9.245241,,,,,,4,8
omp,28.360710,10.163863,10.163863,,,,,,4,9
omp,27.045561,8.899322,8.899320,,,,,,4,10
omp,26.818914,8.978603,8.978601,,,,,,4,11
omp,27.090657,8.935498,8.935496,,,,,,4,12
omp,27.113215,9.109184,9.109183,,,,,,4,13
omp,26.806063,8.973720,8.973718,,,,,,4,14
omp,28.197361,9.690451,9.690451,,,,,,4,15
omp,27.474124,5.526759,5.526758,,,,,,8,1
omp,28.573417,6.338024,6.338023,,,,,,8,2
omp,28.484031,5.745976,5.745974,,,,,,8,3
omp,28.200746,5.976234,5.976233,,,,,,8,4
omp,28.258511,5.897895,5.897894,,,,,,8,5
omp,30.295366,6.613979,6.613978,,,,,,8,6
omp,27.580464,5.646558,5.646556,,,,,,8,7
omp,29.240335,6.134552,6.134551,,,,,,8,8
omp,28.265364,5.695869,5.695868,,,,,,8,9
omp,28.644515,5.685113,5.685111,,,,,,8,10
omp,28.621916,5.804547,5.804546,,,,,,8,11
omp,28.021554,5.684376,5.684375,,,,,,8,12
omp,28.104810,6.187564,6.187562,,,,,,8,13
omp,27.765525,5.589073,5.589071,,,,,,8,14
omp,28.929625,5.886229,5.886229,,,,,,8,15
omp,30.382784,4.033602,4.033601,,,,,,16,1
omp,31.645240,4.448125,4.448124,,,,,,16,2
omp,29.996721,4.109147,4.109145,,,,,,16,3
omp,30.174253,4.321176,4.321175,,,,,,16,4
omp,32.075095,4.903471,4.903469,,,,,,16,5
omp,29.398598,4.197976,4.197975,,,,,,16,6
omp,32.225503,4.915455,4.915453,,,,,,16,7
omp,29.660928,4.841234,4.841234,,,,,,16,8
omp,29.604418,4.552261,4.552259,,,,,,16,9
omp,30.620017,4.794867,4.794866,,,,,,16,10
omp,29.187195,4.242742,4.242741,,,,,,16,11
omp,30.366976,4.018550,4.018550,,,,,,16,12
omp,29.835101,4.771556,4.771554,,,,,,16,13
omp,29.420669,4.208495,4.208494,,,,,,16,14
omp,29.095438,4.102168,4.102167,,,,,,16,15
omp,39.878052,3.825294,3.825294,,,,,,32,1
omp,38.004578,3.754468,3.754467,,,,,,32,2
omp,36.676508,3.346709,3.346708,,,,,,32,3
omp,40.325696,3.527682,3.527681,,,,,,32,4
omp,40.008016,3.807222,3.807222,,,,,,32,5
omp,40.991132,3.702249,3.702248,,,,,,32,6
omp,39.993486,3.509200,3.509199,,,,,,32,7
omp,42.253955,3.422313,3.422312,,,,,,32,8
omp,40.127016,3.343697,3.343696,,,,,,32,9
omp,37.016955,3.275689,3.275688,,,,,,32,10
omp,37.483265,3.373571,3.373570,,,,,,32,11
omp,37.292160,3.729721,3.729721,,,,,,32,12
