i_o	threads	method	region	size	delta_x	delta_y	mean_duration_clock	mean_duration_mono	mean_duration_sys	ci_duration_clock	ci_duration_mono	ci_duration_sys	repetitions
0	1	seq	Full Picture	16	4.0	4.0	0.00023515	0.00022800000000000004	0.00022700000000000004	0.00026232978498146384	0.0002610539699795911	0.00026171379498263084	10
1	1	seq	Full Picture	16	4.0	4.0	0.00023515	0.00022800000000000004	0.00022700000000000004	0.00026232978498146384	0.0002610539699795911	0.00026171379498263084	10
0	2	seq	Full Picture	16	4.0	4.0	0.0001096	0.0001031	0.00010190000000000001	1.627311566152386e-5	1.8673222182223038e-5	1.785525456428878e-5	10
1	2	seq	Full Picture	16	4.0	4.0	0.0001096	0.0001031	0.00010190000000000001	1.627311566152386e-5	1.8673222182223038e-5	1.785525456428878e-5	10
0	4	seq	Full Picture	16	4.0	4.0	0.0001093	0.00010299999999999998	0.0001016	1.6912376007593432e-5	1.8640047687111148e-5	1.8344594844258624e-5	10
1	4	seq	Full Picture	16	4.0	4.0	0.0001093	0.00010299999999999998	0.0001016	1.6912376007593432e-5	1.8640047687111148e-5	1.8344594844258624e-5	10
0	8	seq	Full Picture	16	4.0	4.0	0.0001123	0.0001058	0.00010449999999999999	3.5844131706288784e-6	2.2251731518143815e-6	1.904777618982805e-6	10
1	8	seq	Full Picture	16	4.0	4.0	0.0001123	0.0001058	0.00010449999999999999	3.5844131706288784e-6	2.2251731518143815e-6	1.904777618982805e-6	10
0	16	seq	Full Picture	16	4.0	4.0	0.0001105	0.00010319999999999999	0.0001016	2.1594618671223525e-5	1.886312616956396e-5	1.8437432455620162e-5	10
1	16	seq	Full Picture	16	4.0	4.0	0.0001105	0.00010319999999999999	0.0001016	2.1594618671223525e-5	1.886312616956396e-5	1.8437432455620162e-5	10
0	32	seq	Full Picture	16	4.0	4.0	0.00011169999999999999	0.0001059	0.00010479999999999999	1.6136143006031822e-6	1.7161662701109848e-6	1.5460688499833738e-6	10
1	32	seq	Full Picture	16	4.0	4.0	0.00011169999999999999	0.0001059	0.00010479999999999999	1.6136143006031822e-6	1.7161662701109848e-6	1.5460688499833738e-6	10
0	1	seq	Full Picture	32	4.0	4.0	0.00056365	0.0005577000000000001	0.0005565	0.0003429185103198717	0.0003436487506865419	0.00034379898521022273	10
1	1	seq	Full Picture	32	4.0	4.0	0.00056365	0.0005577000000000001	0.0005565	0.0003429185103198717	0.0003436487506865419	0.00034379898521022273	10
0	2	seq	Full Picture	32	4.0	4.0	0.0003974	0.00039119999999999997	0.00039	2.3469130173722064e-5	2.3516370090263116e-5	2.3682770108245363e-5	10
1	2	seq	Full Picture	32	4.0	4.0	0.0003974	0.00039119999999999997	0.00039	2.3469130173722064e-5	2.3516370090263116e-5	2.3682770108245363e-5	10
0	4	seq	Full Picture	32	4.0	4.0	0.00039440000000000005	0.0003884	0.00038700000000000003	1.0583193384901486e-5	1.0861850875630948e-5	1.0453333333333342e-5	10
1	4	seq	Full Picture	32	4.0	4.0	0.00039440000000000005	0.0003884	0.00038700000000000003	1.0583193384901486e-5	1.0861850875630948e-5	1.0453333333333342e-5	10
0	8	seq	Full Picture	32	4.0	4.0	0.0003876	0.0003811	0.0003799	7.124149901723169e-5	7.310008834163987e-5	7.289543061430151e-5	10
1	8	seq	Full Picture	32	4.0	4.0	0.0003876	0.0003811	0.0003799	7.124149901723169e-5	7.310008834163987e-5	7.289543061430151e-5	10
0	16	seq	Full Picture	32	4.0	4.0	0.0003946999999999999	0.0003889999999999999	0.0003879	1.0577141810947271e-5	1.0893243573681612e-5	1.0348684511140114e-5	10
1	16	seq	Full Picture	32	4.0	4.0	0.0003946999999999999	0.0003889999999999999	0.0003879	1.0577141810947271e-5	1.0893243573681612e-5	1.0348684511140114e-5	10
0	32	seq	Full Picture	32	4.0	4.0	0.00039519999999999996	0.0003893	0.000388	1.0112958463718183e-5	9.867280161107096e-6	9.377097395012782e-6	10
1	32	seq	Full Picture	32	4.0	4.0	0.00039519999999999996	0.0003893	0.000388	1.0112958463718183e-5	9.867280161107096e-6	9.377097395012782e-6	10
0	1	seq	Full Picture	64	4.0	4.0	0.0018970500000000002	0.0018908500000000001	0.0018898500000000002	0.0008075013399734687	0.0008064030879509591	0.0008070133846434544	10
1	1	seq	Full Picture	64	4.0	4.0	0.0018970500000000002	0.0018908500000000001	0.0018898500000000002	0.0008075013399734687	0.0008064030879509591	0.0008070133846434544	10
0	2	seq	Full Picture	64	4.0	4.0	0.0015000999999999999	0.0014954999999999999	0.0014941999999999998	3.370148931756906e-5	4.173414376209906e-5	4.203528591816906e-5	10
