i_o	threads	method	region	size	delta_x	delta_y	mean_duration_clock	mean_duration_mono	mean_duration_sys	ci_duration_clock	ci_duration_mono	ci_duration_sys	repetitions
0	1	pth	Full Picture	16	4.0	4.0	0.00033279999999999996	0.006708700000000001	0.006707199999999999	0.00016939813332304856	0.00544411835557686	0.005444120374497406	10
1	1	pth	Full Picture	16	4.0	4.0	0.00033279999999999996	0.006708700000000001	0.006707199999999999	0.00016939813332304856	0.00544411835557686	0.005444120374497406	10
0	2	pth	Full Picture	16	4.0	4.0	0.0004125	0.008102999999999999	0.0081017	0.0001053843070754739	0.004045455932354501	0.004044912302899917	10
1	2	pth	Full Picture	16	4.0	4.0	0.0004125	0.008102999999999999	0.0081017	0.0001053843070754739	0.004045455932354501	0.004044912302899917	10
0	4	pth	Full Picture	16	4.0	4.0	0.0006565	0.017436999999999998	0.0174361	0.00013754877890325958	0.0066249264774251556	0.00662451214371326	10
1	4	pth	Full Picture	16	4.0	4.0	0.0006565	0.017436999999999998	0.0174361	0.00013754877890325958	0.0066249264774251556	0.00662451214371326	10
0	8	pth	Full Picture	16	4.0	4.0	0.0009823	0.0223724	0.0223714	0.00013458999672255652	0.008134131515723933	0.00813454753262924	10
1	8	pth	Full Picture	16	4.0	4.0	0.0009823	0.0223724	0.0223714	0.00013458999672255652	0.008134131515723933	0.00813454753262924	10
0	16	pth	Full Picture	16	4.0	4.0	0.0016382999999999999	0.025240799999999997	0.025239499999999998	0.0002522662896755463	0.017807769448640355	0.017807506079925334	10
1	16	pth	Full Picture	16	4.0	4.0	0.0016382999999999999	0.025240799999999997	0.025239499999999998	0.0002522662896755463	0.017807769448640355	0.017807506079925334	10
0	32	pth	Full Picture	16	4.0	4.0	0.0031387999999999997	0.0331424	0.0331412	0.0004562688411403475	0.012892888846184593	0.012892893269274617	10
1	32	pth	Full Picture	16	4.0	4.0	0.0031387999999999997	0.0331424	0.0331412	0.0004562688411403475	0.012892888846184593	0.012892893269274617	10
0	1	pth	Full Picture	32	4.0	4.0	0.0005424000000000001	0.014453200000000003	0.0144521	0.00024444656781299996	0.009103766651760506	0.009103144382336857	10
1	1	pth	Full Picture	32	4.0	4.0	0.0005424000000000001	0.014453200000000003	0.0144521	0.00024444656781299996	0.009103766651760506	0.009103144382336857	10
0	2	pth	Full Picture	32	4.0	4.0	0.0006329	0.013766500000000001	0.0137653	0.0001481884727260825	0.0052846335202442266	0.005284461459336967	10
1	2	pth	Full Picture	32	4.0	4.0	0.0006329	0.013766500000000001	0.0137653	0.0001481884727260825	0.0052846335202442266	0.005284461459336967	10
0	4	pth	Full Picture	32	4.0	4.0	0.0008509000000000001	0.0162459	0.0162448	0.000154237734480826	0.0037864065594914666	0.003786553258808801	10
1	4	pth	Full Picture	32	4.0	4.0	0.0008509000000000001	0.0162459	0.0162448	0.000154237734480826	0.0037864065594914666	0.003786553258808801	10
0	8	pth	Full Picture	32	4.0	4.0	0.0012064999999999999	0.022273299999999996	0.0222719	0.0001464348692536492	0.010794706402842708	0.010794603292591472	10
1	8	pth	Full Picture	32	4.0	4.0	0.0012064999999999999	0.022273299999999996	0.0222719	0.0001464348692536492	0.010794706402842708	0.010794603292591472	10
0	16	pth	Full Picture	32	4.0	4.0	0.0020864	0.026208299999999997	0.026206999999999998	0.0007252754531318123	0.009460880908650222	0.009460954491569843	10
1	16	pth	Full Picture	32	4.0	4.0	0.0020864	0.026208299999999997	0.026206999999999998	0.0007252754531318123	0.009460880908650222	0.009460954491569843	10
0	32	pth	Full Picture	32	4.0	4.0	0.0035050000000000003	0.0331844	0.033183599999999994	0.0008385593779810707	0.012202450705580233	0.012202881444441444	10
1	32	pth	Full Picture	32	4.0	4.0	0.0035050000000000003	0.0331844	0.033183599999999994	0.0008385593779810707	0.012202450705580233	0.012202881444441444	10
0	1	pth	Full Picture	64	4.0	4.0	0.0013465000000000003	0.0115724	0.0115711	0.00029364153702544655	0.010101586607264776	0.010101803764907203	10
1	1	pth	Full Picture	64	4.0	4.0	0.0013465000000000003	0.0115724	0.0115711	0.00029364153702544655	0.010101586607264776	0.010101803764907203	10
