size	region	delta_x	delta_y	duration_clock	duration_mono	duration_sys	threads	method	i_o
16	Full Picture	4.0	4.0	0.000378	0.010991	0.010989	1	pth	0
16	Full Picture	4.0	4.0	0.000382	0.007096	0.007095	1	pth	0
16	Full Picture	4.0	4.0	0.000378	0.010996	0.010995	1	pth	0
16	Full Picture	4.0	4.0	0.000428	0.006912	0.00691	1	pth	0
16	Full Picture	4.0	4.0	0.000388	0.006892	0.006891	1	pth	0
16	Full Picture	4.0	4.0	0.000431	0.00694	0.006938	1	pth	0
16	Full Picture	4.0	4.0	0.000241	0.00279	0.002788	1	pth	0
16	Full Picture	4.0	4.0	0.00021	0.002755	0.002754	1	pth	0
16	Full Picture	4.0	4.0	0.000232	0.005886	0.005884	1	pth	0
16	Full Picture	4.0	4.0	0.00026	0.005829	0.005828	1	pth	0
16	Full Picture	4.0	4.0	0.000279	0.005727	0.005725	2	pth	0
16	Full Picture	4.0	4.0	0.000445	0.005745	0.005745	2	pth	0
16	Full Picture	4.0	4.0	0.000485	0.009546	0.009545	2	pth	0
16	Full Picture	4.0	4.0	0.000415	0.009208	0.009207	2	pth	0
16	Full Picture	4.0	4.0	0.000402	0.007157	0.007156	2	pth	0
16	Full Picture	4.0	4.0	0.000413	0.007182	0.007181	2	pth	0
16	Full Picture	4.0	4.0	0.000431	0.006984	0.006983	2	pth	0
16	Full Picture	4.0	4.0	0.000437	0.007008	0.007006	2	pth	0
16	Full Picture	4.0	4.0	0.000429	0.01125	0.011248	2	pth	0
16	Full Picture	4.0	4.0	0.000389	0.011223	0.011221	2	pth	0
16	Full Picture	4.0	4.0	0.000664	0.0152	0.015199	4	pth	0
16	Full Picture	4.0	4.0	0.000663	0.023069	0.023068	4	pth	0
16	Full Picture	4.0	4.0	0.000771	0.014978	0.014977	4	pth	0
16	Full Picture	4.0	4.0	0.000728	0.014983	0.014982	4	pth	0
16	Full Picture	4.0	4.0	0.000616	0.018979	0.018978	4	pth	0
16	Full Picture	4.0	4.0	0.000719	0.011006	0.011006	4	pth	0
16	Full Picture	4.0	4.0	0.000531	0.018977	0.018976	4	pth	0
16	Full Picture	4.0	4.0	0.000609	0.019196	0.019195	4	pth	0
16	Full Picture	4.0	4.0	0.000607	0.018984	0.018983	4	pth	0
16	Full Picture	4.0	4.0	0.000657	0.018998	0.018997	4	pth	0
16	Full Picture	4.0	4.0	0.000982	0.027208	0.027208	8	pth	0
16	Full Picture	4.0	4.0	0.00093	0.023285	0.023284	8	pth	0
16	Full Picture	4.0	4.0	0.001058	0.019083	0.019082	8	pth	0
16	Full Picture	4.0	4.0	0.00107	0.023036	0.023035	8	pth	0
16	Full Picture	4.0	4.0	0.00109	0.027046	0.027045	8	pth	0
16	Full Picture	4.0	4.0	0.000968	0.019281	0.019279	8	pth	0
16	Full Picture	4.0	4.0	0.000977	0.019184	0.019183	8	pth	0
16	Full Picture	4.0	4.0	0.000887	0.015069	0.015068	8	pth	0
16	Full Picture	4.0	4.0	0.00093	0.027251	0.02725	8	pth	0
16	Full Picture	4.0	4.0	0.000931	0.023281	0.02328	8	pth	0
